iter	Passed	Remaining
0	25	25810
1	28	14392
2	31	10577
3	35	8810
4	39	7900
5	44	7342
6	49	6952
7	53	6615
8	57	6368
9	61	6135
10	66	5946
11	70	5821
12	75	5743
13	80	5638
14	84	5544
15	89	5489
16	94	5463
17	99	5417
18	104	5383
19	109	5358
20	114	5314
21	118	5286
22	124	5270
23	128	5233
24	133	5200
25	137	5165
26	143	5155
27	147	5131
28	152	5114
29	157	5088
30	161	5060
31	166	5035
32	171	5027
33	176	5019
34	181	4999
35	186	4981
36	190	4964
37	195	4952
38	200	4932
39	204	4914
40	209	4892
41	213	4874
42	218	4867
43	224	4872
44	230	4895
45	235	4886
46	239	4866
47	244	4848
48	249	4847
49	254	4843
50	259	4824
51	264	4814
52	268	4796
53	273	4791
54	277	4775
55	282	4764
56	288	4769
57	293	4766
58	298	4766
59	305	4785
60	310	4786
61	316	4790
62	322	4789
63	326	4780
64	333	4796
65	339	4800
66	345	4813
67	351	4822
68	357	4825
69	363	4824
70	368	4818
71	374	4823
72	380	4829
73	385	4828
74	390	4821
75	400	4863
76	405	4862
77	411	4860
78	415	4845
79	420	4834
80	424	4817
81	429	4813
82	435	4808
83	440	4798
84	444	4786
85	450	4785
86	455	4783
87	460	4775
88	465	4768
89	471	4768
90	476	4764
91	482	4764
92	487	4754
93	492	4747
94	497	4737
95	502	4733
96	507	4728
97	512	4715
98	516	4700
99	520	4686
100	525	4677
101	529	4662
102	533	4645
103	537	4630
104	542	4619
105	546	4606
106	550	4592
107	554	4583
108	559	4571
109	563	4558
110	567	4547
111	572	4539
112	577	4530
113	581	4516
114	585	4503
115	589	4491
116	593	4477
117	597	4465
118	601	4454
119	606	4445
120	610	4433
121	614	4422
122	618	4411
123	622	4400
124	626	4387
125	630	4376
126	635	4365
127	639	4354
128	643	4343
129	647	4331
130	651	4322
131	655	4310
132	659	4299
133	663	4291
134	667	4279
135	671	4269
136	676	4259
137	680	4248
138	684	4237
139	688	4228
140	692	4219
141	696	4209
142	701	4201
143	704	4186
144	708	4176
145	712	4167
146	716	4157
147	720	4149
148	724	4138
149	728	4129
150	733	4123
151	737	4114
152	741	4105
153	745	4096
154	750	4089
155	754	4081
156	758	4071
157	761	4060
158	766	4052
159	770	4043
160	774	4033
161	777	4023
162	782	4015
163	786	4008
164	790	3997
165	793	3988
166	797	3980
167	801	3971
168	805	3961
169	809	3951
170	813	3942
171	817	3933
172	820	3923
173	824	3915
174	828	3905
175	832	3896
176	836	3887
177	839	3878
178	843	3868
179	847	3860
180	851	3851
181	854	3842
182	858	3833
183	862	3824
184	866	3815
185	869	3805
186	873	3797
187	876	3787
188	880	3778
189	884	3771
190	888	3764
191	893	3758
192	897	3750
193	901	3743
194	904	3734
195	908	3726
196	912	3718
197	915	3709
198	919	3700
199	923	3694
200	927	3686
201	931	3681
202	935	3672
203	939	3664
204	942	3656
205	946	3649
206	951	3643
207	954	3636
208	959	3629
209	963	3625
210	968	3623
211	972	3616
212	976	3608
213	980	3602
214	984	3594
215	988	3588
216	992	3581
217	996	3574
218	1000	3568
219	1004	3562
220	1009	3557
221	1013	3550
222	1017	3545
223	1022	3540
224	1026	3535
225	1030	3530
226	1035	3525
227	1039	3520
228	1044	3515
229	1048	3510
230	1052	3505
231	1057	3500
232	1061	3494
233	1065	3488
234	1069	3482
235	1073	3475
236	1077	3469
237	1081	3463
238	1085	3456
239	1089	3450
240	1093	3443
241	1097	3436
242	1100	3429
243	1104	3422
244	1109	3417
245	1112	3410
246	1116	3404
247	1120	3398
248	1124	3391
249	1128	3385
250	1131	3377
251	1135	3371
252	1139	3365
253	1143	3358
254	1147	3351
255	1150	3345
256	1155	3340
257	1159	3333
258	1163	3328
259	1167	3322
260	1171	3317
261	1176	3313
262	1180	3307
263	1184	3303
264	1188	3297
265	1192	3291
266	1196	3285
267	1201	3280
268	1205	3275
269	1209	3269
270	1213	3264
271	1218	3262
272	1224	3260
273	1230	3261
274	1235	3258
275	1240	3253
276	1244	3247
277	1248	3242
278	1252	3237
279	1257	3232
280	1261	3227
281	1265	3221
282	1269	3216
283	1273	3210
284	1277	3206
285	1282	3201
286	1286	3196
287	1290	3190
288	1294	3185
289	1299	3180
290	1303	3175
291	1307	3169
292	1312	3165
293	1316	3162
294	1321	3157
295	1325	3152
296	1330	3148
297	1334	3143
298	1338	3138
299	1342	3132
300	1347	3129
301	1352	3125
302	1356	3120
303	1361	3116
304	1365	3111
305	1369	3106
306	1373	3100
307	1377	3095
308	1381	3089
309	1385	3084
310	1389	3079
311	1394	3075
312	1398	3070
313	1403	3066
314	1408	3062
315	1412	3057
316	1416	3051
317	1420	3046
318	1425	3043
319	1429	3038
320	1434	3033
321	1438	3029
322	1443	3024
323	1446	3018
324	1450	3012
325	1454	3007
326	1459	3002
327	1463	2997
328	1467	2992
329	1471	2987
330	1475	2982
331	1479	2976
332	1483	2971
333	1487	2966
334	1491	2961
335	1495	2955
336	1499	2950
337	1504	2945
338	1508	2941
339	1512	2935
340	1516	2930
341	1520	2925
342	1524	2920
343	1528	2915
344	1532	2910
345	1536	2905
346	1542	2902
347	1546	2897
348	1550	2892
349	1554	2886
350	1558	2881
351	1562	2877
352	1567	2872
353	1571	2867
354	1575	2862
355	1579	2857
356	1583	2851
357	1588	2848
358	1592	2843
359	1596	2838
360	1600	2833
361	1604	2828
362	1609	2823
363	1613	2818
364	1616	2812
365	1621	2808
366	1625	2803
367	1629	2798
368	1633	2793
369	1638	2790
370	1643	2785
371	1647	2781
372	1652	2777
373	1656	2772
374	1661	2768
375	1665	2764
376	1671	2762
377	1676	2758
378	1682	2757
379	1687	2753
380	1693	2751
381	1697	2746
382	1702	2742
383	1708	2740
384	1714	2738
385	1719	2735
386	1725	2732
387	1729	2728
388	1734	2724
389	1741	2723
390	1746	2720
391	1752	2717
392	1757	2715
393	1762	2711
394	1767	2707
395	1772	2702
396	1776	2698
397	1782	2695
398	1787	2692
399	1792	2689
400	1797	2684
401	1801	2680
402	1807	2677
403	1813	2675
404	1819	2673
405	1824	2669
406	1830	2666
407	1836	2665
408	1842	2662
409	1848	2659
410	1853	2655
411	1858	2652
412	1863	2649
413	1869	2645
414	1874	2642
415	1880	2639
416	1885	2635
417	1890	2632
418	1896	2629
419	1901	2626
420	1907	2623
421	1913	2620
422	1918	2617
423	1923	2613
424	1927	2608
425	1932	2603
426	1936	2598
427	1940	2593
428	1943	2587
429	1947	2582
430	1952	2577
431	1956	2572
432	1961	2568
433	1966	2565
434	1971	2560
435	1975	2555
436	1979	2550
437	1984	2545
438	1988	2541
439	1992	2536
440	1997	2531
441	2002	2527
442	2007	2524
443	2011	2519
444	2017	2515
445	2021	2511
446	2027	2507
447	2032	2504
448	2039	2502
449	2044	2499
450	2050	2495
451	2055	2492
452	2060	2488
453	2066	2485
454	2071	2481
455	2077	2478
456	2082	2474
457	2088	2471
458	2093	2467
459	2099	2464
460	2105	2461
461	2110	2457
462	2117	2456
463	2123	2452
464	2127	2447
465	2131	2442
466	2135	2436
467	2138	2431
468	2142	2426
469	2147	2421
470	2150	2415
471	2154	2410
472	2158	2404
473	2162	2399
474	2167	2395
475	2171	2390
476	2176	2386
477	2181	2382
478	2185	2376
479	2189	2371
480	2193	2367
481	2197	2361
482	2201	2356
483	2205	2351
484	2209	2346
485	2213	2341
486	2217	2336
487	2221	2330
488	2225	2325
489	2229	2320
490	2234	2315
491	2237	2310
492	2242	2305
493	2246	2301
494	2250	2295
495	2254	2290
496	2258	2285
497	2262	2280
498	2267	2276
499	2271	2271
500	2275	2266
501	2279	2261
502	2282	2255
503	2286	2250
504	2290	2245
505	2294	2239
506	2298	2234
507	2302	2229
508	2305	2224
509	2309	2219
510	2314	2214
511	2317	2209
512	2321	2204
513	2326	2199
514	2330	2194
515	2334	2189
516	2338	2184
517	2343	2180
518	2347	2175
519	2351	2170
520	2355	2165
521	2359	2160
522	2362	2155
