iter	Passed	Remaining
0	23	23106
1	28	14190
2	33	10988
3	36	9119
4	40	7962
5	42	7088
6	45	6432
7	47	5909
8	49	5494
9	52	5158
10	54	4882
11	56	4652
12	59	4491
13	61	4331
14	63	4187
15	66	4060
16	68	3951
17	70	3857
18	72	3765
19	75	3686
20	77	3630
21	80	3579
22	82	3524
23	85	3476
24	88	3432
25	90	3393
26	92	3348
27	95	3307
28	97	3278
29	100	3242
30	102	3207
31	104	3175
32	107	3146
33	109	3114
34	111	3085
35	131	3511
36	134	3497
37	137	3476
38	140	3452
39	142	3425
40	145	3397
41	147	3375
42	150	3345
43	152	3317
44	155	3291
45	157	3264
46	159	3237
47	161	3210
48	164	3187
49	166	3172
50	169	3152
51	171	3133
52	174	3113
53	176	3093
54	178	3073
55	181	3056
56	183	3037
57	185	3019
58	188	3001
59	190	2987
60	192	2969
61	195	2954
62	197	2939
63	199	2923
64	202	2906
65	204	2895
66	206	2882
67	209	2868
68	211	2853
69	213	2839
70	216	2827
71	218	2813
72	220	2799
73	223	2791
74	225	2780
75	227	2768
76	229	2756
77	232	2746
78	234	2736
79	237	2725
80	239	2714
81	241	2705
82	244	2695
83	246	2686
84	248	2676
85	250	2666
86	253	2657
87	255	2647
88	257	2638
89	259	2628
90	262	2623
91	264	2615
92	267	2606
93	269	2599
94	272	2591
95	274	2582
96	276	2575
97	278	2566
98	281	2558
99	283	2550
100	285	2542
101	287	2534
102	290	2527
103	292	2523
104	295	2518
105	297	2513
106	300	2506
107	302	2500
108	305	2493
109	307	2488
110	310	2486
111	313	2481
112	315	2478
113	318	2474
114	321	2470
115	323	2467
116	326	2463
117	329	2462
118	332	2460
119	335	2457
120	337	2452
121	340	2447
122	342	2442
123	345	2438
124	348	2436
125	351	2436
126	353	2431
127	356	2427
128	359	2424
129	361	2420
130	364	2416
131	366	2412
132	369	2411
133	372	2408
134	375	2406
135	378	2403
136	380	2399
137	383	2394
138	386	2393
139	388	2388
140	392	2389
141	394	2385
142	397	2381
143	400	2378
144	402	2375
145	405	2371
146	407	2367
147	410	2362
148	412	2358
149	415	2353
150	417	2348
151	420	2343
152	422	2339
153	425	2336
154	435	2374
155	437	2368
156	440	2363
157	442	2359
158	445	2354
159	447	2349
160	450	2345
161	452	2340
162	455	2337
163	457	2333
164	460	2328
165	462	2324
166	465	2320
167	467	2315
168	470	2312
169	472	2307
170	475	2304
171	477	2300
172	480	2297
173	482	2292
174	485	2288
175	488	2285
176	490	2281
177	493	2276
178	495	2272
179	497	2268
180	500	2264
181	503	2260
182	505	2256
183	507	2252
184	510	2249
185	513	2245
186	515	2242
187	518	2238
188	520	2235
189	523	2233
190	526	2230
191	529	2227
192	531	2223
193	534	2220
194	537	2218
195	539	2214
196	542	2210
197	544	2206
198	547	2201
199	549	2198
200	552	2195
201	554	2191
202	557	2187
203	559	2183
204	562	2179
205	564	2175
206	566	2170
207	569	2167
208	571	2164
209	574	2160
210	576	2157
211	579	2153
212	582	2150
213	584	2148
214	587	2144
215	589	2140
216	592	2136
217	594	2132
218	596	2128
219	599	2124
220	601	2120
221	603	2116
222	606	2112
223	608	2108
224	611	2105
225	613	2100
226	615	2096
227	618	2092
228	620	2089
229	623	2085
230	625	2082
